,movie_title,award_name
135,A Wrinkle in Time-2018-03-09,#43MostDiscussedMovieof2018 
136,A Wrinkle in Time-2018-03-09, #22MostSharedMovieof2018
137,ABC Africa-2002-05-03,#73BestMovieof2002
138,Abduction-2011-09-23,#84MostDiscussedMovieof2011 
139,Abduction-2011-09-23, #78MostSharedMovieof2011
140,About a Boy-2002-05-17,#60BestMovieof2002 
141,About a Boy-2002-05-17, #48MostDiscussedMovieof2002 
142,About a Boy-2002-05-17, #50MostSharedMovieof2002
143,About Schmidt-2002-12-13,#11BestMovieof2002 
144,About Schmidt-2002-12-13, #54MostDiscussedMovieof2002 
145,About Schmidt-2002-12-13, #57MostSharedMovieof2002
146,About Time-2013-11-01,#86MostDiscussedMovieof2013 
147,About Time-2013-11-01, #41MostSharedMovieof2013
148,Abraham Lincoln: Vampire Hunter-2012-06-22,#53MostDiscussedMovieof2012
149,Across the Universe-2007-09-14,#32MostDiscussedMovieof2007 
150,Across the Universe-2007-09-14, #70MostSharedMovieof2007
151,Act of Valor-2012-02-24,#73MostDiscussedMovieof2012
152,Actress-2014-11-07,#87BestMovieof2014
153,Ad Astra-2019-09-20,#74BestMovieof2019 
154,Ad Astra-2019-09-20, #14MostDiscussedMovieof2019
155,Addicted-2014-10-10,#68MostSharedMovieof2014
156,Adrift-2018-06-01,#76MostSharedMovieof2018
157,Adventureland-2009-04-03,#62BestMovieof2009 
158,Adventureland-2009-04-03, #42MostDiscussedMovieof2009 
159,Adventureland-2009-04-03, #97MostSharedMovieof2009
160,Aferim!-2016-01-22,#28BestMovieof2016
161,Afghan Star-2009-06-26,#53BestMovieof2009
162,After-2019-04-12,#39MostSharedMovieof2019
163,After Earth-2013-05-31,#28MostDiscussedMovieof2013 
164,After Earth-2013-05-31, #44MostSharedMovieof2013
165,After Innocence-2005-10-21,#76BestMovieof2005
166,After Tiller-2013-09-20,#97BestMovieof2013
167,After.Life-2010-04-09,#37MostSharedMovieof2010
168,Afternoon of a Faun: Tanaquil Le Clercq-2014-02-05,#95BestMovieof2014
169,Agent Cody Banks-2003-03-14,#58MostSharedMovieof2003
170,Ahead of Time-2010-09-10,#80BestMovieof2010
171,Ai Weiwei: Never Sorry-2012-07-27,#36BestMovieof2012
172,Ajami-2010-02-03,#22BestMovieof2010
173,Akeelah and the Bee-2006-04-28,#98BestMovieof2006 
174,Akeelah and the Bee-2006-04-28, #76MostSharedMovieof2006
175,Aladdin-2019-05-24,#16MostDiscussedMovieof2019 
176,Aladdin-2019-05-24, #28MostSharedMovieof2019
177,Alexander-2004-11-24,#53MostDiscussedMovieof2004 
178,Alexander-2004-11-24, #35MostSharedMovieof2004
179,Ali-2001-12-25,#86MostDiscussedMovieof2001 
180,Ali-2001-12-25, #91MostSharedMovieof2001
181,Alice in Wonderland-2010-03-05,#14MostDiscussedMovieof2010 
182,Alice in Wonderland-2010-03-05, #19MostSharedMovieof2010
183,Alice Through the Looking Glass-2016-05-27,#46MostDiscussedMovieof2016 
184,Alice Through the Looking Glass-2016-05-27, #78MostSharedMovieof2016
185,Alien: Covenant-2017-05-19,#10MostDiscussedMovieof2017 
186,Alien: Covenant-2017-05-19, #13MostSharedMovieof2017
187,Alita: Battle Angel-2019-02-14,#5MostDiscussedMovieof2019 
188,Alita: Battle Angel-2019-02-14, #9MostSharedMovieof2019
189,All About Steve-2009-09-04,#75MostDiscussedMovieof2009
190,All In: The Fight for Democracy-2020-09-09,#77BestMovieof2020
191,All or Nothing-2002-10-25,#80BestMovieof2002
192,All the Money in the World-2017-12-25,#83MostDiscussedMovieof2017 
193,All the Money in the World-2017-12-25, #92MostSharedMovieof2017
194,All the Real Girls-2003-02-14,#81BestMovieof2003
195,Allied-2016-11-23,#86MostSharedMovieof2016
196,Alone-2020-09-18,#91MostDiscussedMovieof2020
197,Alone in the Dark-2005-01-28,#59MostDiscussedMovieof2005 
198,Alone in the Dark-2005-01-28, #42MostSharedMovieof2005
199,Along Came a Spider-2001-04-06,#67MostDiscussedMovieof2001
200,Along Came Polly-2004-01-16,#81MostDiscussedMovieof2004 
201,Along Came Polly-2004-01-16, #80MostSharedMovieof2004
202,Alpha and Omega-2010-09-17,#74MostSharedMovieof2010
203,Alpha Dog-2007-01-12,#94MostSharedMovieof2007
204,Alvin and the Chipmunks-2007-12-14,#55MostDiscussedMovieof2007 
205,Alvin and the Chipmunks-2007-12-14, #34MostSharedMovieof2007
206,Alvin and the Chipmunks: Chipwrecked-2011-12-16,#86MostDiscussedMovieof2011
207,Alvin and the Chipmunks: The Road Chip-2015-12-18,#92MostDiscussedMovieof2015 
208,Alvin and the Chipmunks: The Road Chip-2015-12-18, #69MostSharedMovieof2015
209,Alvin and the Chipmunks: The Squeakquel-2009-12-23,#63MostDiscussedMovieof2009 
210,Alvin and the Chipmunks: The Squeakquel-2009-12-23, #81MostSharedMovieof2009
211,Amanda Knox-2016-09-30,#77BestMovieof2016
212,American Assassin-2017-09-15,#87MostDiscussedMovieof2017
213,American Desi-2001-03-16,#79MostDiscussedMovieof2001
214,American Gangster-2007-11-02,#59BestMovieof2007 
215,American Gangster-2007-11-02, #35MostDiscussedMovieof2007 
216,American Gangster-2007-11-02, #38MostSharedMovieof2007
217,American Honey-2016-09-30,#65BestMovieof2016
218,American Hustle-2013-12-13,#9BestMovieof2013 
219,American Hustle-2013-12-13, #13MostDiscussedMovieof2013 
220,American Hustle-2013-12-13, #37MostSharedMovieof2013
221,American Made-2017-09-29,#71MostDiscussedMovieof2017 
222,American Made-2017-09-29, #57MostSharedMovieof2017
223,American Psycho-2000-04-14,#3MostDiscussedMovieof2000 
224,American Psycho-2000-04-14, #8MostSharedMovieof2000
225,American Reunion-2012-04-06,#81MostDiscussedMovieof2012 
226,American Reunion-2012-04-06, #61MostSharedMovieof2012
227,American Sniper-2014-12-25,#18MostDiscussedMovieof2014 
228,American Sniper-2014-12-25, #9MostSharedMovieof2014
229,Amores Perros-2001-03-30,#22BestMovieof2001 
230,Amores Perros-2001-03-30, #74MostDiscussedMovieof2001 
231,Amores Perros-2001-03-30, #56MostSharedMovieof2001
232,Amour-2012-12-19,#3BestMovieof2012 
233,Amour-2012-12-19, #83MostDiscussedMovieof2012 
234,Amour-2012-12-19, #51MostSharedMovieof2012
235,Amreeka-2009-09-04,#92BestMovieof2009
236,Amy-2015-07-03,#27BestMovieof2015
237,An American Carol-2008-10-03,#22MostDiscussedMovieof2008
238,An American Haunting-2006-05-05,#75MostSharedMovieof2006
239,An Education-2009-10-09,#11BestMovieof2009 
240,An Education-2009-10-09, #74MostDiscussedMovieof2009
241,An Inconvenient Truth-2006-05-24,#59BestMovieof2006 
242,An Inconvenient Truth-2006-05-24, #60MostDiscussedMovieof2006 
243,An Inconvenient Truth-2006-05-24, #84MostSharedMovieof2006
244,An Unfinished Life-2005-09-09,#96MostSharedMovieof2005
245,An Unreasonable Man-2007-01-31,#64BestMovieof2007
246,Anchorman 2: The Legend Continues-2013-12-18,#39MostDiscussedMovieof2013
247,Anchorman: The Legend of Ron Burgundy-2004-07-09,#11MostDiscussedMovieof2004 
248,Anchorman: The Legend of Ron Burgundy-2004-07-09, #88MostSharedMovieof2004
249,Angels & Demons-2009-05-15,#34MostDiscussedMovieof2009 
250,Angels & Demons-2009-05-15, #59MostSharedMovieof2009
251,Anger Management-2003-04-11,#36MostDiscussedMovieof2003 
252,Anger Management-2003-04-11, #57MostSharedMovieof2003
253,Anna-2019-06-21,#79MostDiscussedMovieof2019 
254,Anna-2019-06-21, #65MostSharedMovieof2019
255,Anna Karenina-2012-11-16,#90MostSharedMovieof2012
256,Annabelle-2014-10-03,#42MostDiscussedMovieof2014 
257,Annabelle-2014-10-03, #15MostSharedMovieof2014
258,Annabelle Comes Home-2019-06-26,#63MostDiscussedMovieof2019
259,Annie-2014-12-19,#81MostDiscussedMovieof2014 
260,Annie-2014-12-19, #50MostSharedMovieof2014
261,Annihilation-2018-02-23,#81BestMovieof2018 
262,Annihilation-2018-02-23, #15MostDiscussedMovieof2018 
263,Annihilation-2018-02-23, #8MostSharedMovieof2018
264,Another Gay Movie-2006-07-28,#43MostSharedMovieof2006
265,Another Year-2010-12-29,#37BestMovieof2010
266,Ant-Man-2015-07-17,#8MostDiscussedMovieof2015 
267,Ant-Man-2015-07-17, #67MostSharedMovieof2015
268,Ant-Man and the Wasp-2018-07-06,#16MostDiscussedMovieof2018 
269,Ant-Man and the Wasp-2018-07-06, #29MostSharedMovieof2018
270,Antebellum-2020-09-18,#67MostDiscussedMovieof2020
271,Antichrist-2009-10-23,#64MostDiscussedMovieof2009 
272,Antichrist-2009-10-23, #51MostSharedMovieof2009
273,Antitrust-2001-01-12,#68MostDiscussedMovieof2001
274,Anvil! The Story of Anvil-2009-04-10,#30BestMovieof2009
275,Apocalypto-2006-12-08,#16MostDiscussedMovieof2006 
276,Apocalypto-2006-12-08, #6MostSharedMovieof2006
277,Apollo 11-2019-03-01,#13BestMovieof2019 
278,Apollo 11-2019-03-01, #98MostSharedMovieof2019
279,Apollo 18-2011-09-02,#78MostDiscussedMovieof2011
280,Aqua Teen Hunger Force Colon Movie Film for Theaters-2007-04-13,#100MostDiscussedMovieof2007
281,Aquaman-2018-12-21,#6MostDiscussedMovieof2018 
282,Aquaman-2018-12-21, #64MostSharedMovieof2018
283,Aquamarine-2006-03-03,#77MostSharedMovieof2006
284,Aquarius-2016-10-14,#14BestMovieof2016
285,Ararat-2002-11-15,#43MostDiscussedMovieof2002
286,Arbitrage-2012-09-14,#87BestMovieof2012
287,Archipelago-2014-06-27,#40BestMovieof2014
288,Are We There Yet?-2005-01-21,#70MostSharedMovieof2005
289,Argo-2012-10-12,#12BestMovieof2012 
290,Argo-2012-10-12, #18MostDiscussedMovieof2012 
291,Argo-2012-10-12, #19MostSharedMovieof2012
292,Army of the Dead-2021-05-14,#13MostDiscussedMovieof2021
293,Around the World in 80 Days-2004-06-16,#100MostSharedMovieof2004
294,Arrival-2016-11-11,#48BestMovieof2016 
295,Arrival-2016-11-11, #9MostDiscussedMovieof2016 
296,Arrival-2016-11-11, #23MostSharedMovieof2016
297,Ascension-2021-10-08,#61BestMovieof2021
298,Astro Boy-2009-10-23,#84MostSharedMovieof2009
299,At Berkeley-2013-11-08,#38BestMovieof2013
300,ATL-2006-03-31,#48MostSharedMovieof2006
301,Atlantis-2021-01-22,#37BestMovieof2021
302,Atlantis: The Lost Empire-2001-06-08,#24MostDiscussedMovieof2001 
303,Atlantis: The Lost Empire-2001-06-08, #97MostSharedMovieof2001
304,Atomic Blonde-2017-07-28,#47MostDiscussedMovieof2017 
305,Atomic Blonde-2017-07-28, #52MostSharedMovieof2017
306,Atonement-2007-12-07,#16BestMovieof2007 
307,Atonement-2007-12-07, #23MostDiscussedMovieof2007 
308,Atonement-2007-12-07, #10MostSharedMovieof2007
309,Attack the Block-2011-07-29,#70BestMovieof2011 
310,Attack the Block-2011-07-29, #82MostDiscussedMovieof2011
311,Attenberg-2012-03-09,#98BestMovieof2012
312,August: Osage County-2013-12-25,#94MostDiscussedMovieof2013 
313,August: Osage County-2013-12-25, #94MostSharedMovieof2013
314,Avatar-2009-12-18,#21BestMovieof2009 
315,Avatar-2009-12-18, #1MostDiscussedMovieof2009 
316,Avatar-2009-12-18, #2MostSharedMovieof2009
317,Avengers: Age of Ultron-2015-05-01,#4MostDiscussedMovieof2015 
318,Avengers: Age of Ultron-2015-05-01, #56MostSharedMovieof2015
319,Avengers: Endgame-2019-04-26,#4MostDiscussedMovieof2019 
320,Avengers: Endgame-2019-04-26, #1MostSharedMovieof2019
321,Avengers: Infinity War-2018-04-27,#1MostDiscussedMovieof2018 
322,Avengers: Infinity War-2018-04-27, #2MostSharedMovieof2018
323,Azor-2021-09-10,#14BestMovieof2021
324,Babel-2006-10-27,#9MostDiscussedMovieof2006 
325,Babel-2006-10-27, #32MostSharedMovieof2006
326,Baby Boy-2001-06-27,#30MostSharedMovieof2001
327,Baby Driver-2017-06-28,#29BestMovieof2017 
328,Baby Driver-2017-06-28, #16MostDiscussedMovieof2017 
329,Baby Driver-2017-06-28, #15MostSharedMovieof2017
330,Baby Mama-2008-04-25,#76MostSharedMovieof2008
331,Babyteeth-2020-06-19,#94BestMovieof2020
332,Bad Boys II-2003-07-18,#21MostDiscussedMovieof2003
333,Bad Moms-2016-07-29,#77MostDiscussedMovieof2016 
334,Bad Moms-2016-07-29, #69MostSharedMovieof2016
335,Bad Santa-2003-11-26,#100BestMovieof2003 
336,Bad Santa-2003-11-26, #43MostDiscussedMovieof2003 
337,Bad Santa-2003-11-26, #42MostSharedMovieof2003
338,Bad Teacher-2011-06-24,#59MostDiscussedMovieof2011 
339,Bad Teacher-2011-06-24, #63MostSharedMovieof2011
340,Bad Times at the El Royale-2018-10-12,#49MostDiscussedMovieof2018 
341,Bad Times at the El Royale-2018-10-12, #72MostSharedMovieof2018
342,Baden Baden-2016-11-25,#91BestMovieof2016
343,Bait-2000-09-15,#83MostDiscussedMovieof2000
344,Ballast-2008-10-01,#14BestMovieof2008
345,Ballistic: Ecks vs. Sever-2002-09-20,#81MostDiscussedMovieof2002
346,Ballplayer: Pelotero-2012-07-13,#73BestMovieof2012
347,Bamako-2007-02-14,#31BestMovieof2007
348,Bamboozled-2000-10-06,#98MostDiscussedMovieof2000
349,The Bank Job-2008-03-07,#97BestMovieof2008 
350,The Bank Job-2008-03-07, #90MostDiscussedMovieof2008 
351,The Bank Job-2008-03-07, #49MostSharedMovieof2008
352,Baran-2001-12-07,#33BestMovieof2001
353,Barbara-2012-12-21,#11BestMovieof2012
354,Barbershop-2002-09-13,#46MostSharedMovieof2002
355,Barbershop: The Next Cut-2016-04-15,#83MostSharedMovieof2016
356,Barracuda-2017-10-06,#92BestMovieof2017
357,Basic-2003-03-28,#92MostDiscussedMovieof2003 
358,Basic-2003-03-28, #93MostSharedMovieof2003
359,Basic Instinct 2-2006-03-31,#20MostSharedMovieof2006
360,Bathtubs Over Broadway-2018-11-30,#94BestMovieof2018
361,Batman Begins-2005-06-15,#4MostDiscussedMovieof2005 
362,Batman Begins-2005-06-15, #8MostSharedMovieof2005
363,Batman v Superman: Dawn of Justice-2016-03-25,#1MostDiscussedMovieof2016 
364,Batman v Superman: Dawn of Justice-2016-03-25, #2MostSharedMovieof2016
365,Battle: Los Angeles-2011-03-11,#14MostDiscussedMovieof2011 
366,Battle: Los Angeles-2011-03-11, #73MostSharedMovieof2011
367,Battle of the Sexes-2017-09-22,#95MostDiscussedMovieof2017 
368,Battle of the Sexes-2017-09-22, #67MostSharedMovieof2017
369,Battlefield Earth: A Saga of the Year 3000-2000-05-12,#6MostDiscussedMovieof2000 
370,Battlefield Earth: A Saga of the Year 3000-2000-05-12, #11MostSharedMovieof2000
371,Battleship-2012-05-18,#28MostDiscussedMovieof2012 
372,Battleship-2012-05-18, #16MostSharedMovieof2012
373,Baywatch-2017-05-25,#65MostDiscussedMovieof2017 
374,Baywatch-2017-05-25, #51MostSharedMovieof2017
375,Be Kind Rewind-2008-02-22,#63MostDiscussedMovieof2008
376,Beasts of No Nation-2015-10-16,#81BestMovieof2015 
377,Beasts of No Nation-2015-10-16, #26MostSharedMovieof2015
378,Beasts of the Southern Wild-2012-06-27,#14BestMovieof2012 
379,Beasts of the Southern Wild-2012-06-27, #59MostDiscussedMovieof2012
380,Beau Travail-2000-03-31,#3BestMovieof2000
381,Beautiful Creatures-2013-02-14,#100MostSharedMovieof2013
382,Beautiful People-2000-02-18,#25BestMovieof2000
383,Beauty and the Beast-2017-03-17,#29MostDiscussedMovieof2017 
384,Beauty and the Beast-2017-03-17, #18MostSharedMovieof2017
385,Bedazzled-2000-10-20,#89MostDiscussedMovieof2000 
386,Bedazzled-2000-10-20, #95MostSharedMovieof2000
387,Bee Movie-2007-11-02,#34MostDiscussedMovieof2007 
388,Bee Movie-2007-11-02, #17MostSharedMovieof2007
389,Before Midnight-2013-05-24,#3BestMovieof2013 
390,Before Midnight-2013-05-24, #73MostDiscussedMovieof2013 
391,Before Midnight-2013-05-24, #29MostSharedMovieof2013
392,Before Night Falls-2000-12-22,#8BestMovieof2000
393,Before Sunset-2004-07-02,#4BestMovieof2004 
394,Before Sunset-2004-07-02, #42MostDiscussedMovieof2004 
395,Before Sunset-2004-07-02, #39MostSharedMovieof2004
396,Before the Devil Knows You're Dead-2007-10-26,#15BestMovieof2007 
397,Before the Devil Knows You're Dead-2007-10-26, #42MostDiscussedMovieof2007 
398,Before the Devil Knows You're Dead-2007-10-26, #68MostSharedMovieof2007
399,Begin Again-2014-06-27,#100MostDiscussedMovieof2014 
400,Begin Again-2014-06-27, #57MostSharedMovieof2014
401,Beginners-2011-06-03,#33BestMovieof2011 
402,Beginners-2011-06-03, #64MostSharedMovieof2011
403,Behind Enemy Lines-2001-11-30,#91MostDiscussedMovieof2001 
404,Behind Enemy Lines-2001-11-30, #35MostSharedMovieof2001
405,Being the Ricardos-2021-12-10,#71MostDiscussedMovieof2021
406,Beirut-2018-04-11,#83MostSharedMovieof2018
407,Belfast-2021-11-12,#72MostDiscussedMovieof2021
408,Below-2002-10-11,#8MostSharedMovieof2002
409,Benda Bilili!-2011-09-30,#53BestMovieof2011
410,Bending the Arc-2017-10-06,#74BestMovieof2017
411,Benjamin Smoke-2000-07-21,#82BestMovieof2000
412,Beowulf-2007-11-16,#33MostDiscussedMovieof2007
413,Bergman Island-2021-10-15,#70BestMovieof2021
414,Bernie-2012-04-27,#74BestMovieof2012 
415,Bernie-2012-04-27, #89MostDiscussedMovieof2012
416,Best in Show-2000-09-27,#31BestMovieof2000 
417,Best in Show-2000-09-27, #66MostDiscussedMovieof2000 
418,Best in Show-2000-09-27, #74MostSharedMovieof2000
419,Best of Enemies-2015-07-31,#97BestMovieof2015
420,Best Worst Thing That Ever Could Have Happened-2016-11-18,#52BestMovieof2016
421,Better Living Through Circuitry-2000-05-26,#94BestMovieof2000
422,Beyond the Black Rainbow-2012-05-18,#95MostSharedMovieof2012
423,Big Eyes-2014-12-25,#97MostDiscussedMovieof2014 
424,Big Eyes-2014-12-25, #71MostSharedMovieof2014
425,Big Fat Liar-2002-02-08,#90MostDiscussedMovieof2002
426,Big Fish-2003-12-10,#18MostDiscussedMovieof2003 
427,Big Fish-2003-12-10, #15MostSharedMovieof2003
428,Big Hero 6-2014-11-07,#27MostDiscussedMovieof2014 
429,Big Hero 6-2014-11-07, #11MostSharedMovieof2014
430,Big Men-2014-03-14,#5BestMovieof2014
431,Big Momma's House-2000-06-02,#79MostDiscussedMovieof2000 
432,Big Momma's House-2000-06-02, #61MostSharedMovieof2000
433,Big Momma's House 2-2006-01-27,#93MostSharedMovieof2006
434,Big Time Adolescence-2020-03-13,#15MostSharedMovieof2020
435,Bill Cunningham New York-2011-03-16,#56BestMovieof2011
436,Bill Traylor: Chasing Ghosts-2021-04-16,#84BestMovieof2021
437,Billy Elliot-2000-10-13,#59BestMovieof2000 
438,Billy Elliot-2000-10-13, #65MostDiscussedMovieof2000 
439,Billy Elliot-2000-10-13, #96MostSharedMovieof2000
440,Billy the Kid-2007-12-05,#66BestMovieof2007
441,Birth-2004-10-29,#97MostDiscussedMovieof2004 
442,Birth-2004-10-29, #83MostSharedMovieof2004
443,Birthday Girl-2002-02-01,#90MostSharedMovieof2002
444,Black Bear-2020-12-04,#79BestMovieof2020
445,Black Christmas-2019-12-13,#76MostDiscussedMovieof2019
